	ROC_12_25
2.57749e-05	0.147000
2.67295e-05	0.150000
2.72068e-05	0.151000
2.76841e-05	0.154000
2.81615e-05	0.155000
2.86388e-05	0.157000
2.91161e-05	0.158000
3.10253e-05	0.163000
3.198e-05	0.171000
3.24573e-05	0.172000
3.29346e-05	0.177000
3.34119e-05	0.179000
3.38892e-05	0.181000
3.48438e-05	0.184000
3.53212e-05	0.186000
3.57985e-05	0.188000
3.62758e-05	0.194000
3.8185e-05	0.198000
3.86623e-05	0.199000
3.91397e-05	0.203000
3.9617e-05	0.208000
4.05716e-05	0.210000
4.15262e-05	0.214000
4.20035e-05	0.218000
4.24808e-05	0.221000
4.29582e-05	0.223000
4.34355e-05	0.226000
4.48674e-05	0.233000
4.53447e-05	0.235000
4.5822e-05	0.240000
4.62993e-05	0.241000
4.67767e-05	0.244000
4.77313e-05	0.246000
4.82086e-05	0.248000
4.86859e-05	0.249000
4.91632e-05	0.250000
5.01178e-05	0.253000
5.05952e-05	0.264000
5.10725e-05	0.269000
5.15498e-05	0.272000
5.20271e-05	0.273000
5.25044e-05	0.277000
5.29817e-05	0.280000
5.39364e-05	0.287000
5.4891e-05	0.290000
5.58456e-05	0.292000
5.63229e-05	0.294000
5.72775e-05	0.299000
5.87095e-05	0.300000
5.96641e-05	0.307000
6.01414e-05	0.311000
6.06187e-05	0.316000
6.1096e-05	0.317000
6.15734e-05	0.318000
6.2528e-05	0.320000
6.44372e-05	0.328000
6.49145e-05	0.329000
6.53919e-05	0.330000
6.58692e-05	0.334000
6.73011e-05	0.337000
6.77784e-05	0.340000
6.82557e-05	0.341000
6.8733e-05	0.343000
6.96877e-05	0.351000
7.0165e-05	0.352000
7.11196e-05	0.353000
7.20742e-05	0.360000
7.39835e-05	0.361000
7.44608e-05	0.362000
7.49381e-05	0.363000
7.54154e-05	0.366000
7.68474e-05	0.369000
7.73247e-05	0.371000
7.7802e-05	0.376000
7.87566e-05	0.377000
8.30524e-05	0.386000
8.35297e-05	0.390000
8.44844e-05	0.394000
8.49617e-05	0.395000
8.59163e-05	0.397000
8.87802e-05	0.402000
9.16441e-05	0.403000
9.25987e-05	0.404000
9.3076e-05	0.414000
9.45079e-05	0.415000
9.49853e-05	0.417000
9.64172e-05	0.419000
9.73718e-05	0.421000
9.83264e-05	0.427000
0.00010119	0.429000
0.000101668	0.431000
0.000102145	0.433000
0.000107395	0.438000
0.000109305	0.439000
0.000109782	0.440000
0.000110259	0.442000
0.000111214	0.444000
0.000112646	0.451000
0.000114078	0.452000
0.000114555	0.462000
0.000115032	0.464000
0.000116464	0.465000
0.000116942	0.468000
0.000118851	0.470000
0.000120283	0.475000
0.00012076	0.476000
0.000121715	0.478000
0.000123147	0.479000
0.000123624	0.482000
0.000124579	0.486000
0.000125533	0.488000
0.000129352	0.489000
0.000130306	0.493000
0.000130784	0.495000
0.000131738	0.496000
0.000132216	0.499000
0.00013317	0.502000
0.000136511	0.503000
0.000137466	0.506000
0.00014033	0.507000
0.000141285	0.510000
0.000142717	0.515000
0.000144626	0.517000
0.000145103	0.519000
0.00014558	0.520000
0.000146535	0.524000
0.000149399	0.527000
0.000149876	0.528000
0.000150831	0.529000
0.000151308	0.532000
0.000151785	0.533000
0.000152263	0.536000
0.000154172	0.541000
0.000156081	0.542000
0.000156559	0.543000
0.000157036	0.546000
0.000158468	0.549000
