	ROC_8_40
0.000101168	0.432000
0.000101641	0.438000
0.000102114	0.439000
0.000102587	0.440000
0.000103059	0.442000
0.000103532	0.444000
0.000104005	0.445000
0.000104478	0.446000
0.00010495	0.449000
0.000106841	0.450000
0.000107314	0.456000
0.000109205	0.462000
0.000110151	0.465000
0.000111096	0.467000
0.000111569	0.476000
0.000112042	0.481000
0.000114405	0.483000
0.000116769	0.484000
0.000117242	0.486000
0.000117715	0.489000
0.000119133	0.490000
0.000120078	0.492000
0.000121024	0.494000
0.000121969	0.497000
0.000123388	0.498000
0.000125279	0.507000
0.000126224	0.508000
0.00012717	0.509000
0.000127642	0.511000
0.000128115	0.514000
0.000128588	0.518000
0.000129061	0.519000
0.000129533	0.521000
0.000130006	0.523000
0.000130952	0.524000
0.000131424	0.525000
0.000134734	0.526000
0.000136152	0.527000
0.000136625	0.528000
0.000137097	0.529000
0.000138043	0.530000
0.000138988	0.531000
0.000140879	0.532000
0.00014277	0.536000
0.000143716	0.538000
0.000144189	0.541000
0.000145134	0.544000
0.00014608	0.551000
0.000147498	0.553000
0.000148443	0.554000
0.000149389	0.555000
0.000150807	0.556000
0.000151753	0.557000
0.000152225	0.558000
0.000152698	0.560000
0.000154589	0.561000
0.000156007	0.563000
0.000157898	0.565000
0.000158844	0.567000
0.000159789	0.569000
0.000160262	0.570000
0.000160735	0.572000
0.000162153	0.573000
0.00016499	0.576000
0.000165935	0.578000
0.000166408	0.583000
0.000166881	0.584000
0.000167826	0.587000
0.000168299	0.588000
0.000168772	0.591000
0.00017019	0.593000
0.000171135	0.594000
0.000173499	0.596000
0.000174444	0.597000
0.000174917	0.599000
0.000177754	0.600000
0.000179645	0.601000
0.00018059	0.602000
0.000181536	0.603000
0.000182008	0.605000
0.000182954	0.610000
0.000183427	0.611000
0.000183899	0.618000
0.00018579	0.620000
0.000187681	0.623000
0.000189572	0.624000
0.000190518	0.625000
0.000190991	0.627000
0.000191463	0.629000
0.000192882	0.630000
0.000193827	0.631000
0.000196191	0.632000
0.000196664	0.633000
0.000200446	0.634000
0.000200918	0.635000
0.000201391	0.636000
0.000201864	0.638000
0.000202809	0.639000
0.000203755	0.640000
0.0002047	0.644000
0.000206119	0.645000
0.000206591	0.646000
0.000207537	0.647000
0.00020801	0.648000
0.000208955	0.655000
0.000210373	0.661000
0.000211319	0.663000
0.000212264	0.664000
0.000215101	0.667000
0.000215574	0.668000
0.000219828	0.670000
0.000220774	0.671000
0.000221247	0.672000
0.000222192	0.675000
0.000222665	0.676000
0.000225501	0.677000
0.000225974	0.678000
0.000227392	0.679000
0.000227865	0.680000
0.000228338	0.683000
0.000229283	0.684000
0.000230702	0.687000
0.000234484	0.689000
0.000236375	0.691000
0.000236847	0.692000
0.00023732	0.693000
0.000237793	0.694000
0.000238266	0.695000
0.000238738	0.697000
0.000239211	0.698000
0.000239684	0.700000
0.000240629	0.702000
0.000241102	0.703000
0.000242993	0.704000
0.000243939	0.706000
0.000245357	0.708000
0.000246302	0.709000
0.000248666	0.711000
0.000249139	0.712000
0.00025103	0.714000
0.000252921	0.716000
0.000254812	0.717000
0.000257648	0.718000
0.000258121	0.720000
0.000259539	0.722000
0.000260958	0.724000
0.000262376	0.725000
0.000263794	0.726000
0.000264267	0.727000
0.000265212	0.728000
0.000265685	0.730000
0.000268522	0.731000
0.000268994	0.735000
0.000270413	0.736000
0.000270885	0.737000
0.000272304	0.738000
0.000274667	0.740000
0.00027514	0.741000
0.000277504	0.742000
0.000278922	0.743000
0.00028034	0.744000
0.000280813	0.745000
0.000281759	0.747000
0.000285068	0.749000
0.000286013	0.751000
0.00028885	0.754000
0.000291686	0.755000
0.000292159	0.756000
0.000293105	0.757000
0.000293577	0.759000
0.000295468	0.760000
0.000295941	0.761000
0.000296414	0.762000
0.000296887	0.765000
0.000297832	0.767000
0.000299723	0.770000
0.000300669	0.771000
0.000301141	0.772000
0.000303032	0.773000
0.000303978	0.774000
0.000305869	0.775000
0.000306342	0.777000
0.000307287	0.778000
0.000308705	0.779000
0.000309651	0.781000
0.000311542	0.782000
0.000313433	0.783000
0.000315324	0.784000
0.000316269	0.785000
0.000317688	0.786000
0.000323361	0.787000
0.000325252	0.789000
0.000325724	0.790000
0.00032667	0.791000
0.000327143	0.792000
0.000329034	0.793000
0.000329506	0.796000
0.000330452	0.797000
0.000331397	0.799000
0.000332343	0.800000
0.000334707	0.801000
0.000335652	0.802000
0.000336598	0.804000
0.000337543	0.805000
0.000339907	0.806000
0.00034038	0.807000
0.000342271	0.808000
0.000342743	0.809000
0.000344161	0.811000
0.00034558	0.813000
0.000346525	0.815000
0.000346998	0.816000
0.000347471	0.817000
0.000347943	0.818000
0.000349834	0.819000
0.000351725	0.821000
0.000353144	0.822000
0.000355035	0.823000
0.000357398	0.827000
0.000360708	0.828000
0.000362599	0.829000
0.000363071	0.830000
0.000363544	0.832000
0.000366853	0.833000
0.000368272	0.834000
0.000369217	0.835000
0.000372999	0.836000
0.000373472	0.837000
0.000373945	0.839000
0.000374417	0.841000
0.000375836	0.842000
0.000376308	0.843000
0.000377254	0.844000
0.000378672	0.845000
0.00038009	0.846000
0.000382927	0.847000
0.000384345	0.848000
0.000390018	0.849000
0.000390491	0.850000
0.000391436	0.852000
0.0003938	0.853000
0.000394746	0.854000
0.000396637	0.855000
0.000403255	0.858000
0.000407983	0.859000
0.000408455	0.860000
0.000416965	0.861000
0.00041791	0.863000
0.000424529	0.864000
0.000428784	0.866000
0.000430202	0.867000
0.000432566	0.871000
0.000435875	0.872000
0.000447694	0.873000
0.000454785	0.874000
0.000464713	0.875000
0.000471331	0.877000
0.000471804	0.879000
0.000473222	0.880000
0.000474168	0.881000
0.000475113	0.882000
0.000475586	0.883000
0.000487405	0.884000
0.000494969	0.885000
0.000497332	0.886000
0.000498751	0.887000
0.000499696	0.888000
0.000501587	0.889000
0.000503005	0.890000
0.000503951	0.891000
0.00050726	0.892000
0.000517188	0.893000
0.000519551	0.895000
0.000521915	0.896000
0.000523333	0.897000
0.000524752	0.898000
0.000527588	0.901000
0.000528061	0.902000
0.000528534	0.903000
0.000534679	0.904000
0.000538934	0.905000
0.000540352	0.907000
0.000540825	0.908000
0.00054508	0.909000
0.000549807	0.910000
0.000551226	0.911000
0.000554535	0.912000
0.000563517	0.913000
0.000564935	0.914000
0.000570608	0.915000
0.000576754	0.916000
0.000577227	0.917000
0.000581009	0.918000
0.0005829	0.919000
0.000594246	0.920000
0.000595664	0.921000
0.000598501	0.922000
0.000599919	0.923000
0.000604174	0.924000
0.000610319	0.925000
0.000612683	0.926000
0.000628284	0.927000
0.000630175	0.929000
0.000647194	0.930000
0.000649085	0.932000
0.000655703	0.933000
0.000657594	0.934000
0.000658067	0.935000
0.000686432	0.936000
0.00068785	0.938000
0.000688796	0.939000
0.000703924	0.940000
0.000705342	0.941000
0.000712906	0.942000
0.000714797	0.944000
0.000719052	0.945000
0.000731816	0.946000
0.000745526	0.947000
0.000747417	0.948000
0.00074978	0.949000
0.000763017	0.950000
0.000772	0.951000
0.000799419	0.952000
0.000806983	0.953000
0.000813602	0.954000
0.000827784	0.955000
0.000828257	0.956000
0.000850949	0.957000
0.000855676	0.958000
0.000869859	0.959000
0.000872695	0.960000
0.000909097	0.961000
0.00091477	0.962000
0.000916188	0.963000
0.000964881	0.964000
0.000983319	0.965000
0.001	0.966000
	ROC_12_80
0	0
2.36375e-07	0.007000
4.72749e-07	0.021000
9.45499e-07	0.027000
1.41825e-06	0.029000
1.891e-06	0.032000
2.8365e-06	0.033000
3.30925e-06	0.034000
3.78199e-06	0.035000
4.25474e-06	0.042000
4.72749e-06	0.044000
5.67299e-06	0.051000
6.14574e-06	0.055000
6.61849e-06	0.060000
8.03674e-06	0.066000
8.50949e-06	0.069000
8.98224e-06	0.071000
9.45499e-06	0.073000
9.92774e-06	0.079000
1.1346e-05	0.087000
1.22915e-05	0.091000
1.46552e-05	0.094000
1.5128e-05	0.095000
1.56007e-05	0.097000
1.60735e-05	0.098000
1.65462e-05	0.100000
1.7019e-05	0.102000
1.79645e-05	0.104000
1.84372e-05	0.108000
1.891e-05	0.114000
1.93827e-05	0.115000
2.03282e-05	0.116000
2.0801e-05	0.119000
2.22192e-05	0.123000
2.2692e-05	0.130000
2.31647e-05	0.131000
2.41102e-05	0.134000
2.4583e-05	0.135000
2.50557e-05	0.136000
2.60012e-05	0.140000
2.6474e-05	0.141000
2.69467e-05	0.145000
2.74195e-05	0.146000
2.78922e-05	0.149000
2.8365e-05	0.151000
2.88377e-05	0.153000
3.0256e-05	0.154000
3.07287e-05	0.155000
3.12015e-05	0.158000
3.16742e-05	0.159000
3.2147e-05	0.160000
3.26197e-05	0.167000
3.30925e-05	0.172000
3.35652e-05	0.173000
3.4038e-05	0.176000
3.45107e-05	0.177000
3.49834e-05	0.179000
3.54562e-05	0.181000
3.59289e-05	0.183000
3.64017e-05	0.188000
3.78199e-05	0.189000
3.82927e-05	0.193000
3.92382e-05	0.195000
3.97109e-05	0.197000
4.06564e-05	0.199000
4.11292e-05	0.203000
4.16019e-05	0.205000
4.20747e-05	0.209000
4.30202e-05	0.211000
4.34929e-05	0.215000
4.39657e-05	0.220000
4.44384e-05	0.223000
4.49112e-05	0.231000
4.53839e-05	0.238000
4.58567e-05	0.239000
4.63294e-05	0.241000
4.91659e-05	0.242000
4.96387e-05	0.248000
5.01114e-05	0.250000
5.05842e-05	0.251000
5.10569e-05	0.252000
5.29479e-05	0.257000
5.38934e-05	0.258000
5.48389e-05	0.260000
5.53117e-05	0.262000
5.57844e-05	0.267000
5.62572e-05	0.271000
5.76754e-05	0.272000
5.90937e-05	0.275000
6.00392e-05	0.276000
6.05119e-05	0.278000
6.09847e-05	0.279000
6.24029e-05	0.283000
6.28757e-05	0.284000
6.38212e-05	0.289000
6.42939e-05	0.290000
6.52394e-05	0.291000
6.57122e-05	0.294000
6.61849e-05	0.295000
6.66577e-05	0.296000
6.71304e-05	0.298000
6.76032e-05	0.299000
6.85487e-05	0.300000
6.99669e-05	0.302000
7.04396e-05	0.304000
7.13851e-05	0.306000
7.23306e-05	0.307000
7.28034e-05	0.308000
7.42216e-05	0.309000
7.46944e-05	0.311000
7.65854e-05	0.313000
7.70581e-05	0.319000
7.75309e-05	0.324000
