	PRC_12_25
0.905000	0.867383
0.906000	0.867510
0.907000	0.867637
0.908000	0.867095
0.909000	0.867056
0.910000	0.866683
0.911000	0.865815
0.912000	0.865942
0.913000	0.865243
0.914000	0.864546
0.915000	0.863195
0.916000	0.862506
0.917000	0.862635
0.919000	0.860128
0.920000	0.858964
0.921000	0.858612
0.922000	0.858261
0.923000	0.857429
0.924000	0.857401
0.927000	0.857477
0.928000	0.857609
0.929000	0.857421
0.930000	0.856598
0.931000	0.856730
0.932000	0.856069
0.933000	0.855411
0.934000	0.855543
0.935000	0.853316
0.936000	0.853450
0.937000	0.853583
0.938000	0.853717
0.939000	0.853850
0.940000	0.851490
0.941000	0.851469
0.942000	0.851293
0.943000	0.851118
0.944000	0.851252
0.945000	0.851386
0.946000	0.850133
0.947000	0.850267
0.948000	0.849327
0.949000	0.849003
0.950000	0.849138
0.951000	0.849273
0.952000	0.848797
0.953000	0.848019
0.954000	0.848002
0.955000	0.846019
0.956000	0.846155
0.957000	0.845388
0.959000	0.843862
0.960000	0.842209
0.961000	0.838794
0.962000	0.834829
0.963000	0.834535
0.964000	0.834532
0.965000	0.831200
0.966000	0.830051
0.967000	0.829050
0.968000	0.826487
0.969000	0.825075
0.970000	0.821845
0.971000	0.819620
0.972000	0.816858
0.973000	0.813572
0.974000	0.813317
0.975000	0.812108
0.976000	0.809280
0.977000	0.800357
0.978000	0.800124
0.979000	0.796485
0.980000	0.793661
0.981000	0.787412
0.982000	0.787582
0.983000	0.786230
0.984000	0.784380
0.985000	0.781169
0.986000	0.763669
0.987000	0.762781
0.988000	0.761071
0.989000	0.735155
0.990000	0.714508
0.991000	0.696306
0.992000	0.689305
0.993000	0.684828
0.994000	0.681075
0.995000	0.674963
0.996000	0.667708
0.997000	0.639457
0.998000	0.626822
0.999000	0.615005
0.999708	0.576686
	PRC_12_27
0	1
0.001000	1.000000
0.002000	0.908509
0.003000	0.881622
0.004000	0.832355
0.005000	0.861232
0.006000	0.881622
0.007000	0.874230
0.009000	0.899366
0.011000	0.916128
0.012000	0.922577
0.014000	0.920540
0.015000	0.925443
0.016000	0.919019
0.017000	0.923418
0.020000	0.934149
0.022000	0.923877
0.024000	0.922577
0.025000	0.918594
0.026000	0.914948
0.028000	0.920540
0.029000	0.923070
0.030000	0.914084
0.031000	0.905835
0.032000	0.903343
0.033000	0.905997
0.036000	0.913150
0.037000	0.915299
0.042000	0.920540
0.043000	0.918278
0.044000	0.912303
0.045000	0.906665
0.046000	0.908509
0.047000	0.910281
0.049000	0.910208
0.050000	0.905196
0.055000	0.913065
0.057000	0.915859
0.060000	0.916898
0.061000	0.918148
0.062000	0.916624
0.063000	0.917839
0.065000	0.920165
0.068000	0.920899
0.071000	0.923987
0.072000	0.924964
0.073000	0.925916
0.074000	0.926843
0.075000	0.925443
0.076000	0.924083
0.077000	0.924995
0.078000	0.925885
0.079000	0.924570
0.080000	0.921150
0.082000	0.922925
0.085000	0.925443
0.086000	0.926246
0.087000	0.927032
0.088000	0.927801
0.091000	0.930015
0.092000	0.928830
0.093000	0.929541
0.094000	0.930239
0.095000	0.930922
0.096000	0.927965
0.097000	0.928655
0.098000	0.924037
0.099000	0.924746
0.100000	0.925443
0.101000	0.924419
0.102000	0.925105
0.107000	0.926734
0.108000	0.927363
0.109000	0.926393
0.110000	0.927013
0.112000	0.928223
0.114000	0.927870
0.116000	0.927529
0.119000	0.929227
0.120000	0.929775
0.121000	0.930315
0.122000	0.929419
0.125000	0.930996
0.133000	0.933554
0.137000	0.935369
0.138000	0.935807
0.139000	0.936240
0.140000	0.935406
0.141000	0.933339
0.142000	0.933777
0.144000	0.934637
0.146000	0.934269
0.147000	0.934687
0.149000	0.933147
0.150000	0.933563
0.151000	0.933974
0.152000	0.934380
0.154000	0.932895
0.155000	0.932168
0.157000	0.930747
0.158000	0.930051
0.159000	0.929365
0.163000	0.930979
0.165000	0.927538
0.166000	0.927943
0.167000	0.928344
0.168000	0.928740
0.171000	0.928885
0.172000	0.929269
0.173000	0.929649
0.174000	0.930026
0.175000	0.930398
0.177000	0.931130
0.178000	0.931490
0.179000	0.929897
0.181000	0.928694
0.184000	0.928830
0.186000	0.929541
0.188000	0.930239
0.192000	0.929775
0.194000	0.929551
0.195000	0.928104
0.197000	0.927021
0.198000	0.927363
0.199000	0.927702
0.200000	0.928037
0.201000	0.926646
0.203000	0.927316
0.208000	0.928104
0.209000	0.926765
0.210000	0.927088
0.211000	0.926589
0.213000	0.926416
0.214000	0.926734
0.216000	0.926562
0.218000	0.927187
0.219000	0.927495
0.220000	0.927013
0.221000	0.927320
0.222000	0.926843
0.223000	0.927148
0.224000	0.926676
0.225000	0.926979
0.226000	0.927278
0.227000	0.927575
0.228000	0.927870
0.232000	0.927529
